Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,SquareAbsent,frameRate,session,participant,fill
509,1920.990524,1.114828266,67,1.915451466,115,1.948828502,117,2.749454636,165,2.78277741,167,30,3.183334837,left,0,1,0.061005098,1,-1,right,59.93921547,2,912,2
510,1924.19282,1.014961133,61,1.481973827,89,1.515428955,91,2.466173841,148,2.499430255,150,39,3.500287073,nope,0,0,0.061005098,-1,-1,right,59.93921547,2,912,2
511,1927.712227,1.115173633,67,1.665580704,100,1.698944541,102,1.999038325,120,2.032509586,122,0,3.033239916,nope,0,0,0.061005098,1,1,left,59.93921547,2,912,2
512,1930.76461,1.098462567,66,1.832345628,110,1.865643471,112,2.349369797,141,2.382728868,143,11,3.383498428,nope,0,1,0,1,1,left,59.93921547,2,912,2
513,1934.167315,1.131670586,68,1.64878678,99,1.682086456,101,2.132464343,128,2.165888308,130,9,3.166635136,nope,0,0,0.061005098,1,-1,right,59.93921547,2,912,2
514,1937.353232,1.114850264,67,1.88211476,113,1.915436068,115,2.515969737,151,2.549248515,153,18,3.550027607,nope,0,0,0.061005098,-1,-1,right,59.93921547,2,912,2
515,1940.922614,1.148328857,69,1.815542171,109,1.848839281,111,2.199154621,132,2.23249426,134,3,2.966547071,left,0,1,0.061005098,-1,-1,right,59.93921547,2,912,2
516,1943.908425,1.19826004,72,1.698654536,102,1.732014706,104,2.082307682,125,2.115667119,127,3,3.116516604,nope,0,0,0.061005098,-1,-1,right,59.93921547,2,912,2
517,1947.044115,0.9982651,60,1.548655305,93,1.582069738,95,1.882253713,113,1.91558712,115,0,2.916365112,nope,0,0,0.061005098,1,-1,right,59.93921547,2,912,2
518,1949.979793,1.215097227,73,1.982345591,119,2.015664699,121,2.66624504,160,2.699577347,162,21,3.266811706,right,0,1,0.061005098,1,1,left,59.93921547,2,912,2
519,1953.265867,1.098153497,66,1.715315739,103,1.748675177,105,2.349114255,141,2.382444728,143,18,2.782953026,left,0,1,0.061005098,-1,-1,right,59.93921547,2,912,2
520,1956.068221,1.114682713,67,1.548293074,93,1.581631246,95,2.38232044,143,2.415624516,145,30,3.416454937,nope,0,0,0.061005098,-1,-1,right,59.93921547,2,912,2
521,1959.503891,1.115055578,67,1.565420633,94,1.598707111,96,2.399381273,144,2.432693048,146,30,2.816633633,left,1,1,0.081405098,1,-1,right,59.93921547,2,912,2
522,1962.33939,1.16513048,70,1.949055814,117,1.982398753,119,2.683012934,161,2.716402069,163,24,3.033401233,right,0,1,0.081405098,-1,1,right,59.93921547,2,912,2
523,1965.391865,1.148372119,69,1.732225886,104,1.765521896,106,2.115808639,127,2.149109415,129,3,2.583012347,right,0,1,0.081405098,-1,1,left,59.93921547,2,912,2
524,1967.994002,1.114828266,67,1.648684489,99,1.682027795,101,2.532700601,152,2.566001744,154,33,2.883045271,left,0,1,0.081405098,-1,-1,right,59.93921547,2,912,2
525,1970.896184,1.115007549,67,1.848961003,111,1.882302475,113,2.73298518,164,2.766369915,166,33,3.083339749,right,0,1,0.081405098,-1,1,left,59.93921547,2,912,2
526,1973.998979,1.148043984,69,1.648360387,99,1.681674362,101,2.082096502,125,2.115419643,127,6,2.515881379,right,0,1,0.081405098,1,1,left,59.93921547,2,912,2
527,1976.533988,1.2150294,73,1.648765882,99,1.682018996,101,1.982337159,119,2.015695863,121,0,2.416167131,left,0,1,0.081405098,-1,-1,right,59.93921547,2,912,2
528,1978.969144,1.215148922,73,1.632078647,98,1.665449817,100,2.015785688,121,2.049157591,123,3,2.599679417,left,0,1,0.081405098,-1,-1,right,59.93921547,2,912,2
529,1981.587874,1.131747945,68,1.565359772,94,1.598718109,96,2.299341456,138,2.332718859,140,24,2.733118267,left,0,1,0.081405098,-1,-1,right,59.93921547,2,912,2
530,1984.340029,1.148494208,69,1.648838475,99,1.68211322,101,2.432707713,146,2.466079983,148,27,3.466919202,nope,0,0,0.081405098,1,1,left,59.93921547,2,912,2
531,1987.825997,1.065026137,64,1.582064605,95,1.615435775,97,2.416111037,145,2.44937405,147,30,3.116817242,left,0,1,0.081405098,-1,-1,right,59.93921547,2,912,2
532,1990.961847,1.064860053,64,1.631953259,98,1.66523827,100,2.215768529,133,2.24916793,135,15,2.682879847,left,0,1,0.081405098,-1,-1,right,59.93921547,2,912,2
533,1993.664042,1.048367866,63,1.632121909,98,1.665448717,100,2.265882662,136,2.299326791,138,18,2.699796226,left,0,0,0.081405098,1,1,left,59.93921547,2,912,2
534,1996.382869,0.99822917,60,1.43190589,86,1.465261661,88,2.215845155,133,2.249296251,135,27,2.616363352,left,0,1,0.081405098,-1,-1,right,59.93921547,2,912,2
535,1999.018184,1.198433823,72,1.732210121,104,1.76554976,106,2.165949535,130,2.199315206,132,6,2.616475175,right,0,1,0.081405098,1,1,left,59.93921547,2,912,2
536,2001.653553,1.131643089,68,1.798837338,108,1.832240771,110,2.582764505,155,2.616127608,157,27,2.983109285,right,0,1,0.081405098,1,1,left,59.93921547,2,912,2
537,2004.655835,1.031790988,62,1.498777284,90,1.53208026,92,2.082647549,125,2.116013953,127,15,3.116749049,nope,0,0,0.059805098,-1,1,right,59.93921547,2,912,2
538,2007.791913,1.181580138,71,1.665427452,100,1.698683866,102,2.649395755,159,2.682751526,161,39,3.416881696,right,0,1,0.059805098,1,1,left,59.93921547,2,912,2
539,2011.227961,1.198245375,72,1.965467342,118,1.9989529,120,2.649433884,159,2.682821186,161,21,3.683513753,nope,0,0,0.059805098,-1,-1,right,59.93921547,2,912,2
540,2014.930724,0.998081784,60,1.681985266,101,1.715324172,103,2.365832287,142,2.399146262,144,21,3.400014812,nope,0,0,0.059805098,-1,-1,right,59.93921547,2,912,2
541,2018.349955,1.215213083,73,1.965707485,118,1.999098086,120,2.69969027,162,2.733081971,164,24,3.733818167,nope,0,0,0.059805098,1,1,left,59.93921547,2,912,2
