Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,frameRate,participant
214,1154.888728,1.149978112,69,1.7337236,104,1.767080055,106,2.284136096,137,2.317529948,139,1,3.318362201,nope,0,0,0.158539765,1,-1,59.94404568,322
215,1158.207761,1.083504611,65,1.917485659,115,1.950829283,117,2.467838762,148,2.501204016,150,1,3.501995573,nope,0,0,0.158539765,-1,-1,59.94404568,322
216,1161.710467,1.100227385,66,1.800796909,108,1.834131367,110,2.601428101,156,2.634789323,158,16,3.63557648,nope,0,0,0.158539765,1,1,59.94404568,322
217,1182.293163,1.100219319,66,1.66740885,100,1.700768239,102,2.284558455,137,2.317922243,139,5,2.635056963,l,0,1,0.158539765,1,1,59.94404568,322
218,1184.928947,0.999711095,60,1.583610201,95,1.616851168,97,2.50092281,150,2.534357358,152,23,3.068291258,a,0,1,0.158539765,1,-1,59.94404568,322
219,1187.997968,1.016675111,61,1.767214976,106,1.800548333,108,2.684510353,161,2.717869375,163,23,3.168655029,a,0,1,0.158539765,-1,-1,59.94404568,322
220,1191.167284,1.199927187,72,1.817037929,109,1.850402084,111,2.717792749,163,2.751041415,165,22,3.134975205,l,0,1,0.158539765,1,1,59.94404568,322
221,1194.302926,1.03317424,62,1.450216642,87,1.483499038,89,2.150737038,129,2.184122091,131,10,2.567985487,a,0,1,0.158077765,-1,-1,59.94404568,322
222,1196.871592,1.216683691,73,1.733804259,104,1.767101687,106,2.434398348,146,2.467758836,148,10,3.468437837,nope,0,0,0.158077765,1,1,59.94404568,322
223,1200.340708,1.217016225,73,1.967519426,118,2.000878815,120,2.884979788,173,2.918357508,175,23,3.468988883,a,0,1,0.158077765,-1,-1,59.94404568,322
224,1203.810371,1.0832784,65,1.550246779,93,1.583694526,95,2.501105026,150,2.534439484,152,25,3.001744797,a,0,1,0.158077765,-1,-1,59.94404568,322
225,1206.812786,1.199954684,72,1.833816797,110,1.86720735,112,3.051404967,183,3.084792219,185,41,3.485273899,l,0,1,0.158077765,1,1,59.94404568,322
226,1210.298775,1.099917215,66,1.516973916,91,1.550362635,93,2.234155858,134,2.267564008,136,11,2.834930989,a,0,1,0.158077765,-1,-1,59.94404568,322
227,1213.13437,1.016475298,61,1.850479077,111,1.883825633,113,3.018127337,181,3.051515323,183,38,3.718877977,a,0,1,0.158077765,-1,-1,59.94404568,322
228,1216.85391,1.016633682,61,1.550359702,93,1.583783617,95,2.83461202,170,2.868002939,172,45,3.868773597,nope,0,1,0,1,1,59.94404568,322
229,1220.723356,1.150192958,69,1.867433194,112,1.900794416,114,3.068374849,184,3.101728372,186,40,3.468941221,l,0,1,0.158077765,1,1,59.94404568,322
230,1224.193008,1.083228171,65,1.516990047,91,1.550324138,93,2.384271823,143,2.417698305,145,20,3.418476663,nope,0,1,0,-1,-1,59.94404568,322
