Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,date,frameRate,participant
184,1179.222973,1.11604417,67,1.866674317,112,1.899873109,114,2.71727627,163,2.750706039,165,19,3.084279638,a,0,1,0.137687274,-1,-1,NA,59.96027619,223
185,1182.325318,1.082820814,65,1.649926912,99,1.683174099,101,2.76742844,166,2.800801382,168,35,3.034326549,a,0,1,0.125170249,1,-1,NA,59.96027619,223
186,1185.377681,1.199573682,72,1.866709514,112,1.900020495,114,3.501339853,210,3.534785754,212,66,3.851654917,l,0,1,0.125170249,-1,1,NA,59.96027619,223
187,1189.247485,1.065959827,64,1.616458646,97,1.649682736,99,2.500483403,150,2.533800617,152,21,3.000849117,l,0,1,0.131428761,1,1,NA,59.96027619,223
188,1192.266482,1.082574071,65,1.766453935,106,1.799813312,108,3.117530492,187,3.150860171,189,49,3.617963666,l,0,1,0.112653224,1,1,NA,59.96027619,223
189,1195.902581,1.166246935,70,1.933448431,116,1.966728982,118,2.500602924,150,2.53390694,152,2,3.134435475,l,0,1,0.131428761,1,1,NA,59.96027619,223
190,1199.054969,1.116157826,67,1.76667648,106,1.799995527,108,2.917660572,175,2.950984752,177,37,3.384608983,l,0,1,0.125170249,1,1,NA,59.96027619,223
191,1202.457732,0.999403858,60,1.699888801,102,1.733219947,104,3.434639065,206,3.467998074,208,72,4.46872767,nope,0,0,0.125170249,1,1,NA,59.96027619,223
192,1206.927755,1.066252398,64,1.716765553,103,1.749999908,105,3.101181321,186,3.134542164,188,51,3.484815799,a,0,1,0.137687274,1,-1,NA,59.96027619,223
193,1210.430718,1.16609955,70,1.599764476,96,1.633033661,98,2.934170694,176,2.967549868,178,48,3.301052341,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
194,1213.749954,1.032706407,62,1.683215162,101,1.716449884,103,2.300426868,138,2.333911632,140,5,2.784029486,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
195,1216.552134,1.199439495,72,1.733252577,104,1.766474833,106,2.767367579,166,2.800756653,168,30,3.167681195,a,0,1,0.118911736,-1,-1,NA,59.96027619,223
196,1219.737976,1.065948095,64,1.616437382,97,1.649676137,99,3.234322222,194,3.267767024,196,65,3.551325939,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
197,1223.307408,1.01608373,61,1.799932467,108,1.833270578,110,2.750784132,165,2.784102812,167,25,3.117726273,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
198,1226.44316,1.082848311,65,1.633307535,98,1.666475163,100,2.633955005,158,2.667414838,160,28,2.950864131,a,0,1,0.131428761,1,-1,NA,59.96027619,223
199,1229.412206,1.19952602,72,1.816619304,109,1.849936884,111,3.601397084,216,3.634748027,218,75,3.985066758,l,0,1,0.118911736,1,1,NA,59.96027619,223
200,1233.415271,1.182846881,71,1.90010372,114,1.933354207,116,2.450574676,147,2.483919753,149,1,3.484701777,nope,0,1,0,-1,-1,NA,59.96027619,223
201,1236.901253,1.082807249,65,1.883427148,113,1.916763427,115,2.550703766,153,2.584066442,155,8,2.95097742,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
202,1239.870502,1.065933796,64,1.79983091,108,1.833113294,110,2.76729682,166,2.800605968,168,26,3.301111735,a,0,1,0.131428761,-1,-1,NA,59.96027619,223
203,1243.189618,1.09941636,66,1.883416516,113,1.916649771,115,3.251201174,195,3.284488691,197,50,3.634733729,l,0,1,0.125170249,-1,1,NA,59.96027619,223
204,1246.842465,1.149510969,69,1.649907114,99,1.683188031,101,3.367904914,202,3.401356314,204,71,4.402023949,nope,0,1,0,1,1,NA,59.96027619,223
205,1251.245795,1.116231885,67,1.716740989,103,1.749985243,105,2.567353574,154,2.600782977,156,19,3.601549969,nope,0,1,0,-1,-1,NA,59.96027619,223
